2|16|17.47|18.02|16.48|17.29|16.34|12.23|11.53|10.01|9.13|9.05|8.08|6.17|5.16|4.53
2|17|17.48|18.03|16.49|17.30|16.35|12.23|11.53|10.00|9.13|9.04|8.07|6.16|5.15|4.52
2|18|17.49|18.04|16.50|17.31|16.35|12.22|11.52|10.00|9.12|9.04|8.07|6.15|5.14|4.51
2|19|17.49|18.05|16.51|17.31|16.35|12.22|11.52|9.59|9.12|9.03|8.06|6.14|5.13|4.50
2|20|17.50|18.05|16.51|17.32|16.35|12.22|11.52|9.59|9.11|9.03|8.05|6.14|5.13|4.49
2|21|17.51|18.05|16.52|17.33|16.36|12.22|11.52|9.59|9.10|9.02|8.04|6.12|5.11|4.47
2|22|17.52|18.06|16.53|17.34|16.37|12.22|11.52|9.58|9.10|9.01|8.03|6.11|5.09|4.46
2|23|17.52|18.07|16.54|17.34|16.37|12.22|11.52|9.58|9.09|9.01|8.03|6.10|5.08|4.45
2|24|17.53|18.07|16.55|17.35|16.37|12.22|11.52|9.57|9.09|9.00|8.03|6.09|5.07|4.44
2|25|17.54|18.08|16.56|17.36|16.38|12.22|11.52|9.57|9.08|9.00|8.02|6.08|5.06|4.42
2|26|17.55|18.09|16.56|17.37|16.39|12.21|11.51|9.57|9.08|8.59|8.01|6.07|5.05|4.41
2|27|17.56|18.10|16.57|17.38|16.39|12.21|11.51|9.56|9.07|8.59|8.00|6.06|5.04|4.40
2|28|17.56|18.11|16.58|17.38|16.40|12.21|11.51|9.56|9.07|8.58|8.00|6.05|5.02|4.40
2|29|17.57|18.11|16.58|17.39|16.40|12.21|11.51|9.55|9.06|8.57|8.00|6.05|5.02|4.40
3|1|17.57|18.12|16.58|17.39|16.40|12.22|11.52|9.55|9.06|8.57|8.00|6.04|5.01|4.38
3|2|17.58|18.12|16.59|17.40|16.40|12.22|11.52|9.54|9.05|8.55|7.59|6.03|5.00|4.36
3|3|17.58|18.13|17.00|17.40|16.40|12.21|11.51|9.54|9.05|8.56|7.59|6.01|4.58|4.35
3|4|17.59|18.13|17.01|17.41|16.41|12.21|11.51|9.53|9.04|8.54|7.58|6.01|4.57|4.35
3|5|18.00|18.14|17.01|17.42|16.42|12.21|11.51|9.53|9.03|8.54|7.57|5.59|4.55|4.33
3|6|18.01|18.15|17.02|17.43|16.43|12.21|11.51|9.52|9.02|8.53|7.56|5.58|4.54|4.31
3|7|18.01|18.16|17.03|17.43|16.43|12.20|11.50|9.52|9.01|8.53|7.55|5.57|4.53|4.29
3|8|18.02|18.18|17.03|17.44|16.44|12.20|11.50|9.51|9.00|8.51|7.53|5.56|4.51|4.27
3|9|18.03|18.18|17.04|17.45|16.44|12.20|11.50|9.50|8.59|8.51|7.52|5.54|4.49|4.26
3|10|18.03|18.19|17.05|17.45|16.45|12.20|11.50|9.50|8.59|8.50|7.51|5.53|4.48|4.24
3|11|18.04|18.20|17.06|17.46|16.45|12.19|11.49|9.49|8.58|8.50|7.50|5.52|4.47|4.23
3|12|18.05|18.20|17.06|17.47|16.46|12.19|11.49|9.49|8.57|8.49|7.49|5.51|4.46|4.22
3|13|18.05|18.21|17.07|17.47|16.46|12.19|11.49|9.48|8.56|8.48|7.48|5.50|4.45|4.20
3|14|18.06|18.21|17.07|17.48|16.46|12.18|11.48|9.47|8.56|8.47|7.46|5.48|4.43|4.18
3|15|18.07|18.22|17.08|17.49|16.47|12.18|11.48|9.47|8.55|8.46|7.45|5.47|4.42|4.17
3|16|18.07|18.23|17.09|17.49|16.47|12.18|11.48|9.46|8.55|8.46|7.45|5.46|4.40|4.16
3|17|18.08|18.23|17.10|17.50|16.48|12.18|11.48|9.45|8.54|8.45|7.45|5.45|4.39|4.15
3|18|18.09|18.24|17.10|17.51|16.49|12.17|11.47|9.45|8.53|8.44|7.44|5.43|4.37|4.13
